"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Bio.js", "JavaScript", 94, 9, 23, 126
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Create_Edit_Personal_Bio.js", "JavaScript", 154, 19, 25, 198
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Custom_Recipe_Nutritioninfo.js", "JavaScript", 143, 16, 16, 175
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Display_Custom_Recipes.js", "JavaScript", 292, 54, 59, 405
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Display_Maker_Recipes.js", "JavaScript", 152, 25, 35, 212
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Display_Personal_Bio.js", "JavaScript", 109, 11, 22, 142
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Home.js", "JavaScript", 53, 4, 16, 73
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\HomePage.js", "JavaScript", 82, 32, 10, 124
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Landing_page.js", "JavaScript", 46, 0, 3, 49
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Login.js", "JavaScript", 78, 10, 10, 98
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Login_Success.js", "JavaScript", 77, 23, 22, 122
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\MealPlanner.js", "JavaScript", 258, 30, 43, 331
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Navbar.js", "JavaScript", 41, 0, 15, 56
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Personalized_Recipes.js", "JavaScript", 315, 55, 55, 425
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Registration.js", "JavaScript", 157, 17, 16, 190
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Substitutions.js", "JavaScript", 118, 7, 11, 136
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\TaggedRecipes.js", "JavaScript", 135, 17, 33, 185
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\Timer.js", "JavaScript", 168, 0, 22, 190
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\nutritional_info.js", "JavaScript", 136, 14, 17, 167
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\src\Pages\recipe_search.js", "JavaScript", 220, 19, 51, 290
"Total", "-", 2828, 362, 504, 3694
