"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\README.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\cypress.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 1, 1, 8
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\cypress\e2e\customRecipeNutritionalInfo.cy.js", "JavaScript", 0, 0, 17, 0, 0, 0, 8, 8, 33
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\cypress\e2e\displayCustomRecipe.cy.js", "JavaScript", 0, 0, 11, 0, 0, 0, 2, 2, 15
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\cypress\e2e\ingredientNutritionalInfo.cy.js", "JavaScript", 0, 0, 16, 0, 0, 0, 2, 2, 20
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\cypress\e2e\r02.cy.js", "JavaScript", 0, 0, 15, 0, 0, 0, 4, 5, 24
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\cypress\e2e\r18.cy.js", "JavaScript", 0, 0, 17, 0, 0, 0, 4, 9, 30
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\cypress\fixtures\example.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\cypress\support\commands.js", "JavaScript", 0, 0, 0, 0, 0, 0, 25, 0, 25
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\cypress\support\e2e.js", "JavaScript", 0, 0, 1, 0, 0, 0, 17, 2, 20
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\cypress.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 1, 1, 8
"c:\Users\blake\Desktop\RutgersSem4\Software Engineering\Software-Engineering-Project\react-app\cypress\e2e\PageAccessTesting.cy.js", "JavaScript", 0, 0, 384, 0, 0, 0, 56, 107, 547
